Samples;Método;Hilos;Valor Pi;Tiempo (s);Tiempo (ms);Tiempo (us)
1000;Secuencial;1;3,112000000000;0,000122500001;0,12250000;122,50000145
1000;Paralelo;8;3,204000000000;0,004507699996;4,50770000;4507,69999588
5000;Secuencial;1;3,102400000000;0,001009799991;1,00979999;1009,79999115
5000;Paralelo;8;3,150400000000;0,000545600007;0,54560001;545,60000717
10000;Secuencial;1;3,121200000000;0,001402399997;1,40240000;1402,39999746
10000;Paralelo;8;3,158400000000;0,000439399999;0,43940000;439,39999887
50000;Secuencial;1;3,140560000000;0,013584400003;13,58440000;13584,40000331
50000;Paralelo;8;3,141200000000;0,001875000002;1,87500000;1875,00000175
100000;Secuencial;1;3,138240000000;0,024342099990;24,34209999;24342,09999046
100000;Paralelo;8;3,141520000000;0,002602799999;2,60280000;2602,79999929
500000;Secuencial;1;3,141736000000;0,104950499997;104,95050000;104950,49999736
500000;Paralelo;8;3,145112000000;0,007282999999;7,28300000;7282,99999901
1000000;Secuencial;1;3,139884000000;0,164067599995;164,06760000;164067,59999518
1000000;Paralelo;8;3,143060000000;0,022712999998;22,71300000;22712,99999848
5000000;Secuencial;1;3,141512800000;0,606888399998;606,88840000;606888,39999784
5000000;Paralelo;8;3,141442400000;0,062940699994;62,94069999;62940,69999421
10000000;Secuencial;1;3,140768400000;1,181440300003;1181,44030000;1181440,30000258
10000000;Paralelo;8;3,140819600000;0,118906999996;118,90700000;118906,99999640
50000000;Secuencial;1;3,141480320000;5,673671899989;5673,67189999;5673671,89998913
50000000;Paralelo;8;3,141879600000;0,585558400009;585,55840001;585558,40000918
